fue01-183|Confieso que el aparato nos defraudó.|Confieso que el aparato nos defraudo.
fue01-184|La relación de magnitudes forma de tal modo la esencia del criterio humano,|La relacion de magnitudes forma de tal modo la esencia del criterio humano,
fue01-185|que al oír hablar de fuerzas enormes habíamos presentido máquinas grandiosas.|que al oir hablar de fuerzas enormes habiamos presentido maquinas grandiosas.
fue01-186|Aquella cajita redonda, con un botón saliente en su borde, parecía cualquier cosa menos un generador de éter vibratorio.|Aquella cajita redonda, con un boton saliente en su borde, parecia cualquier cosa menos un generador de eter vibratorio.
fue01-187|—Primero —continuó el otro, sonriendo ante nuestra perplejidad— pensé en cosas complicadas, análogas a las sirenas de Koenig.|--Primero --continuo el otro, sonriendo ante nuestra perplejidad-- pense en cosas complicadas, analogas a las sirenas de Koenig.
fue01-188|Luego fui simplificando de acuerdo con mis ideas sobre la deficiencia de las máquinas,|Luego fui simplificando de acuerdo con mis ideas sobre la deficiencia de las maquinas,
fue01-189|hasta llegar a esto, que no es sino una solución transitoria.|hasta llegar a esto, que no es sino una solucion transitoria.
fue01-190|La delicadeza del aparato no permite abrirlo a cada momento;|La delicadeza del aparato no permite abrirlo a cada momento;
fue01-191|pero ustedes deben conocerlo —añadió, destornillando su tapa.|pero ustedes deben conocerlo --anadio, destornillando su tapa.
fue01-192|Contenía cuatro diapasoncillos, poco menos finos que cerdas,|Contenia cuatro diapasoncillos, poco menos finos que cerdas,
fue01-193|implantados a intervalos desiguales sobre un diafragma de madera que constituía el fondo de la caja.|implantados a intervalos desiguales sobre un diafragma de madera que constituia el fondo de la caja.
fue01-194|Un sutilísimo alambre se tendía y distendía rozándolos, bajo la acción del botón que sobresalía;|Un sutilisimo alambre se tendia y distendia rozandolos, bajo la accion del boton que sobresalia;
fue01-195|y la boquilla de que antes hablé era una bocina microfónica.|y la boquilla de que antes hable era una bocina microfonica.
fue01-196|—Los intervalos entre diapasón y diapasón, tanto como el espacio necesario para el juego de la cuerda que los roza,|--Los intervalos entre diapason y diapason, tanto como el espacio necesario para el juego de la cuerda que los roza,
fue01-197|imponían al aparato este tamaño mínimo.|imponian al aparato este tamano minimo.
fue01-198|Cuando ellos suenan, la cuádruple onda transformada en una sale por la bocina microfónica como un verdadero proyectil etéreo.|Cuando ellos suenan, la cuadruple onda transformada en una sale por la bocina microfonica como un verdadero proyectil etereo.
fue01-199|La descarga se repite cuantas veces aprieto el botón,|La descarga se repite cuantas veces aprieto el boton,
fue01-200|pudiendo salir las ondas sin solución de continuidad apreciable, es decir, mucho más próximas que las balas de una ametralladora,|pudiendo salir las ondas sin solucion de continuidad apreciable, es decir, mucho mas proximas que las balas de una ametralladora,
fue01-201|y formar un verdadero chorro de éter dinámico cuya potencia es incalculable.|y formar un verdadero chorro de eter dinamico cuya potencia es incalculable.
fue01-202|Si la onda va al centro molecular del cuerpo, éste se desintegra en partículas impalpables.|Si la onda va al centro molecular del cuerpo, este se desintegra en particulas impalpables.
fue01-203|Si no, lo perfora con un agujerillo enteramente imperceptible.|Si no, lo perfora con un agujerillo enteramente imperceptible.
fue01-204|En cuanto al roce tangencial, van a ver ustedes sus efectos sobre aquel volante…|En cuanto al roce tangencial, van a ver ustedes sus efectos sobre aquel volante...
fue01-205|—… ¿Qué pesa…? —interrumpí.|--... ?Que pesa...? --interrumpi.
fue01-206|—Trescientos kilogramos.|--Trescientos kilogramos.
fue01-207|El botón comenzó a actuar con ruidecito intermitente y seco, ante nuestra curiosidad todavía incrédula;|El boton comenzo a actuar con ruidecito intermitente y seco, ante nuestra curiosidad todavia incredula;
fue01-208|y como el silencio era grande, percibimos apenas una aguda estridencia, análoga al zumbido de un insecto.|y como el silencio era grande, percibimos apenas una aguda estridencia, analoga al zumbido de un insecto.
fue01-209|No tardó mucho en ponerse en movimiento la mole, y aquél fue acelerándose de tal modo,|No tardo mucho en ponerse en movimiento la mole, y aquel fue acelerandose de tal modo,
fue01-210|que pronto vibró la casa entera como al empuje de un huracán.|que pronto vibro la casa entera como al empuje de un huracan.
fue01-211|La maciza rueda no era más que una sombra vaga, semejante al ala de un colibrí en suspensión,|La maciza rueda no era mas que una sombra vaga, semejante al ala de un colibri en suspension,
fue01-212|y el aire desplazado por ella provocaba un torbellino dentro del cuarto.|y el aire desplazado por ella provocaba un torbellino dentro del cuarto.
fue01-213|El descubridor suspendió muy luego los efectos de su aparato,|El descubridor suspendio muy luego los efectos de su aparato,
fue01-214|pues ningún eje habría aguantado mucho tiempo semejante trabajo.|pues ningun eje habria aguantado mucho tiempo semejante trabajo.
fue01-215|Mirábamos suspensos, con una mezcla de admiración y pavor, trocada muy luego en desmedida curiosidad.|Mirabamos suspensos, con una mezcla de admiracion y pavor, trocada muy luego en desmedida curiosidad.
fue01-216|El médico quiso repetir el experimento;|El medico quiso repetir el experimento;
fue01-217|pero por más que abocó la cajita hacia el volante, nada consiguió.|pero por mas que aboco la cajita hacia el volante, nada consiguio.
fue01-218|Yo intenté lo propio con igual desventura.|Yo intente lo propio con igual desventura.
fue01-219|Creíamos ya en una broma de nuestro amigo, cuando éste dijo, poniéndose tan grave que casi daba en taciturno:|Creiamos ya en una broma de nuestro amigo, cuando este dijo, poniendose tan grave que casi daba en taciturno:
fue01-220|—Es que aquí está el misterio de mi fuerza.|--Es que aqui esta el misterio de mi fuerza.
fue01-221|Nadie, sino yo, puede usarla.|Nadie, sino yo, puede usarla.
fue01-222|Y yo mismo no sé cómo sucede.|Y yo mismo no se como sucede.
fue01-223|Defino, sí, lo que pasa por mí como una facultad análoga a la puntería.|Defino, si, lo que pasa por mi como una facultad analoga a la punteria.
fue01-224|Sin verlo, sin percibirlo en ninguna forma material yo sé|Sin verlo, sin percibirlo en ninguna forma material yo se
fue01-225|dónde está el centro del cuerpo que deseo desintegrar y en la misma forma proyecto mi éter contra el volante ante.|donde esta el centro del cuerpo que deseo desintegrar y en la misma forma proyecto mi eter contra el volante ante.
fue01-226|Prueben ustedes cuanto quieran.|Prueben ustedes cuanto quieran.
fue01-227|Quizá al fin…|Quiza al fin...
fue01-228|Todo fue en vano.|Todo fue en vano.
fue01-229|La onda etérea se dispersaba inútil.|La onda eterea se dispersaba inutil.
fue01-230|En cambio, bajo la dirección de su amo, llamémosle así, ejecutó prodigios.|En cambio, bajo la direccion de su amo, llamemosle asi, ejecuto prodigios.
fue01-231|Un adoquín que calzaba la puerta rebelde se desintegró a nuestra vista,|Un adoquin que calzaba la puerta rebelde se desintegro a nuestra vista,
fue01-232|convirtiéndose con leve sacudida en un montón de polvo impalpable.|convirtiendose con leve sacudida en un monton de polvo impalpable.
fue01-233|Varios trozos de hierro sufrieron la misma suerte.|Varios trozos de hierro sufrieron la misma suerte.
fue01-234|Y resultaba en verdad de un efecto mágico aquella transformación de la materia,|Y resultaba en verdad de un efecto magico aquella transformacion de la materia,
fue01-235|sin un esfuerzo perceptible, sin un ruido, como no fuera la leve estridencia que cualquier rumor ahogaba.|sin un esfuerzo perceptible, sin un ruido, como no fuera la leve estridencia que cualquier rumor ahogaba.
fue01-236|El médico, entusiasmado, quería escribir un artículo.|El medico, entusiasmado, queria escribir un articulo.
fue01-237|—No —dijo nuestro amigo—;|--No --dijo nuestro amigo--;
fue01-238|detesto la notoriedad, aunque no he podido evitarla del todo, pues los vecinos comienzan a enterarse.|detesto la notoriedad, aunque no he podido evitarla del todo, pues los vecinos comienzan a enterarse.
fue01-239|Además, temo los daños que puede causar esto…|Ademas, temo los danos que puede causar esto...
fue01-240|—En efecto —dije—;|--En efecto --dije--;
fue01-241|como arma sería espantoso.|como arma seria espantoso.
fue01-242|—¿No lo has ensayado sobre algún animal? —preguntó el médico.|--?No lo has ensayado sobre algun animal? --pregunto el medico.
fue01-243|—Ya sabes —respondió nuestro amigo con grave mansedumbre— que jamás causo dolor a ningún ser viviente.|--Ya sabes --respondio nuestro amigo con grave mansedumbre-- que jamas causo dolor a ningun ser viviente.
fue01-244|Y con esto terminó la sesión.|Y con esto termino la sesion.
fue01-245|Los días siguientes trascurrieron entre maravillas;|Los dias siguientes trascurrieron entre maravillas;
fue01-246|y recuerdo como particularmente notable la desintegración de un vaso de agua,|y recuerdo como particularmente notable la desintegracion de un vaso de agua,
fue01-247|que desapareció de súbito cubriendo de rocío toda la habitación.|que desaparecio de subito cubriendo de rocio toda la habitacion.
fue01-248|—El vaso permanece —explicaba el sabio— porque no forma un bloque con el agua,|--El vaso permanece --explicaba el sabio-- porque no forma un bloque con el agua,
fue01-249|a causa de que no hay entre ésta y el cristal adherencia perfecta.|a causa de que no hay entre esta y el cristal adherencia perfecta.
fue01-250|Lo mismo sucedería si estuviera herméticamente cerrado.|Lo mismo sucederia si estuviera hermeticamente cerrado.
fue01-251|El líquido, convertido en partículas etéreas, sería proyectado a través de los poros del metal|El liquido, convertido en particulas etereas, seria proyectado a traves de los poros del metal
fue01-252|Así marchamos de asombro en asombro;|Asi marchamos de asombro en asombro;
fue01-253|mas el secreto no podía prolongarse, y es imposible valorar lo que se perdió|mas el secreto no podia prolongarse, y es imposible valorar lo que se perdio
fue01-254|en el triste suceso cuyo relato finalizará esta historia.|en el triste suceso cuyo relato finalizara esta historia.
fue01-255|Lo cierto es —para qué entretenerse en cosas tristes— que una de esas mañanas encontramos a nuestro amigo, muerto,|Lo cierto es --para que entretenerse en cosas tristes-- que una de esas mananas encontramos a nuestro amigo, muerto,
fue01-256|con la cabeza recostada en el respaldo de su silla.|con la cabeza recostada en el respaldo de su silla.
fue01-257|Fácil es imaginar nuestra consternación.|Facil es imaginar nuestra consternacion.
fue01-258|El aparato maravilloso estaba ante él y nada anormal se notaba en el laboratorio.|El aparato maravilloso estaba ante el y nada anormal se notaba en el laboratorio.
fue01-259|Mirábamos sorprendidos, sin conjeturar ni lejanamente la causa de aquel desastre,|Mirabamos sorprendidos, sin conjeturar ni lejanamente la causa de aquel desastre,
fue01-260|cuando noté de pronto que la pared a la cual casi tocaba la cabeza del muerto|cuando note de pronto que la pared a la cual casi tocaba la cabeza del muerto
fue01-261|se hallaba cubierta de una capa grasosa,una especie de manteca.|se hallaba cubierta de una capa grasosa,una especie de manteca.
fue01-262|Casi al mismo tiempo mi compañero lo advirtió también, y raspando con su dedo sobre aquella mixtura, exclamó sorprendido:|Casi al mismo tiempo mi companero lo advirtio tambien, y raspando con su dedo sobre aquella mixtura, exclamo sorprendido:
fue01-263|—¡Esto es sustancia cerebral!|--!Esto es sustancia cerebral!
fue01-264|La autopsia confirmó su dicho, certificando una nueva maravilla del portentoso aparato.|La autopsia confirmo su dicho, certificando una nueva maravilla del portentoso aparato.
fue01-265|Efectivamente, la cabeza de nuestro pobre amigo estaba vacía, sin un átomo de sesos.|Efectivamente, la cabeza de nuestro pobre amigo estaba vacia, sin un atomo de sesos.
fue01-266|El proyectil etéreo, quién sabe por qué rareza de dirección o por qué descuido,|El proyectil etereo, quien sabe por que rareza de direccion o por que descuido,
fue01-267|habíale desintegrado el cerebro, proyectándolo en explosión atómica a través de los poros de su cráneo.|habiale desintegrado el cerebro, proyectandolo en explosion atomica a traves de los poros de su craneo.
fue01-268|Ni un rastro exterior denunciaba la catástrofe, y aquel fenómeno, con todo su horror,|Ni un rastro exterior denunciaba la catastrofe, y aquel fenomeno, con todo su horror,
fue01-269|era, a fe mía, el más estupendo de cuantos habíamos presenciado.|era, a fe mia, el mas estupendo de cuantos habiamos presenciado.
fue01-270|Sobre mi mesa de trabajo, aquí mismo, en tanto que finalizo esta historia,|Sobre mi mesa de trabajo, aqui mismo, en tanto que finalizo esta historia,
fue01-271|el aparato en cuestión brilla, diríase siniestramente, al alcance de mi mano.|el aparato en cuestion brilla, diriase siniestramente, al alcance de mi mano.
fue01-272|Funciona perfectamente;|Funciona perfectamente;
fue01-273|pero el éter formidable, la sustancia prodigiosa y homicida de la cual tengo,|pero el eter formidable, la sustancia prodigiosa y homicida de la cual tengo,
fue01-274|¡ay!, tan desgraciada prueba, se pierde sin rumbo en el espacio, a pesar de todas mis vanas tentativas.|!ay!, tan desgraciada prueba, se pierde sin rumbo en el espacio, a pesar de todas mis vanas tentativas.
fue01-275|En el instituto Lutz y Schultz han ensayado también sin éxito.|En el instituto Lutz y Schultz han ensayado tambien sin exito.
fue02-01|LA LLUVIA DE FUEGO|LA LLUVIA DE FUEGO
fue02-02|Recuerdo que era un día de sol hermoso, lleno del hormigueo popular en las calles atronadas de vehículos.|Recuerdo que era un dia de sol hermoso, lleno del hormigueo popular en las calles atronadas de vehiculos.
fue02-03|Un día asaz cálido y de tersura perfecta.|Un dia asaz calido y de tersura perfecta.
fue02-04|Desde mi terraza dominaba una vasta confusión de techos, vergeles salteados,|Desde mi terraza dominaba una vasta confusion de techos, vergeles salteados,
fue02-05|un trozo de bahía punzado de mástiles, la recta gris de una avenida…|un trozo de bahia punzado de mastiles, la recta gris de una avenida...
fue02-06|A eso de las once cayeron las primeras chispas.|A eso de las once cayeron las primeras chispas.
fue02-07|Una aquí, otra allá —partículas de cobre semejantes a las morcellas de un pabilo;|Una aqui, otra alla --particulas de cobre semejantes a las morcellas de un pabilo;
fue02-08|partículas de cobre incandescente que daban en el suelo con un ruidecito de arena.|particulas de cobre incandescente que daban en el suelo con un ruidecito de arena.
fue02-09|El cielo seguía de igual limpidez;|El cielo seguia de igual limpidez;
fue02-10|el rumor urbano no decrecía.|el rumor urbano no decrecia.
fue02-11|Únicamente los pájaros de mi pajarera cesaron de cantar.|Unicamente los pajaros de mi pajarera cesaron de cantar.
fue02-12|Casualmente lo había advertido, mirando hacia el horizonte en un momento de abstracción.|Casualmente lo habia advertido, mirando hacia el horizonte en un momento de abstraccion.
fue02-13|Primero creí en una ilusión óptica formada por mi miopía.|Primero crei en una ilusion optica formada por mi miopia.
fue02-14|Tuve que esperar largo rato para ver caer otra chispa, pues la luz solar anegábalas bastante;|Tuve que esperar largo rato para ver caer otra chispa, pues la luz solar anegabalas bastante;
fue02-15|pero el cobre ardía de tal modo, que se destacaban lo mismo.|pero el cobre ardia de tal modo, que se destacaban lo mismo.
fue02-16|Una rapidísima vírgula de fuego, y el golpecito en la tierra.|Una rapidisima virgula de fuego, y el golpecito en la tierra.
fue02-17|Así, a largos intervalos.|Asi, a largos intervalos.
fue02-18|Debo confesar que al comprobarlo experimenté un vago terror.|Debo confesar que al comprobarlo experimente un vago terror.
fue02-19|Exploré el cielo en una ansiosa ojeada.|Explore el cielo en una ansiosa ojeada.
fue02-20|Persistía la limpidez.|Persistia la limpidez.
fue02-21|¿De dónde venía aquel extraño granizo? ¿Aquel cobre? ¿Era cobre…?|?De donde venia aquel extrano granizo? ?Aquel cobre? ?Era cobre...?
fue02-22|Acababa de caer una chispa en mi terraza, a pocos pasos.|Acababa de caer una chispa en mi terraza, a pocos pasos.
fue02-23|Extendí la mano;|Extendi la mano;
fue02-24|era, a no caber duda, un gránulo de cobre que tardó mucho en enfriarse.|era, a no caber duda, un granulo de cobre que tardo mucho en enfriarse.
fue02-25|Por fortuna la brisa se levantaba, inclinando aquella lluvia singular hacia el lado opuesto de mi terraza.|Por fortuna la brisa se levantaba, inclinando aquella lluvia singular hacia el lado opuesto de mi terraza.
fue02-26|Las chispas eran harto ralas, además.|Las chispas eran harto ralas, ademas.
fue02-27|Podía creerse por momentos que aquello había ya cesado.|Podia creerse por momentos que aquello habia ya cesado.
fue02-28|No cesaba.|No cesaba.
fue02-29|Uno que otro, eso sí, pero caían siempre los temibles gránulos.|Uno que otro, eso si, pero caian siempre los temibles granulos.
fue02-30|En fin, aquello no había de impedirme almorzar, pues era el mediodía.|En fin, aquello no habia de impedirme almorzar, pues era el mediodia.
fue02-31|Bajé al comedor atravesando el jardín, no sin cierto miedo de las chispas.|Baje al comedor atravesando el jardin, no sin cierto miedo de las chispas.
fue02-32|Verdad es que el toldo, corrido para evitar el sol, me resguardaba…|Verdad es que el toldo, corrido para evitar el sol, me resguardaba...
fue02-33|¿Me resguardaba? Alcé los ojos;|?Me resguardaba? Alce los ojos;
fue02-34|pero un toldo tiene tantos poros, que nada pude descubrir.|pero un toldo tiene tantos poros, que nada pude descubrir.
fue02-35|En el comedor me esperaba un almuerzo admirable;|En el comedor me esperaba un almuerzo admirable;
fue02-36|pues mi afortunado celibato sabía dos cosas sobre todo:|pues mi afortunado celibato sabia dos cosas sobre todo:
fue02-37|leer y comer.|leer y comer.
fue02-38|Excepto la biblioteca, el comedor era mi orgullo.|Excepto la biblioteca, el comedor era mi orgullo.
fue02-39|Ahíto de mujeres y un poco gotoso, en punto a vicios amables nada podía esperar ya sino de la gula.|Ahito de mujeres y un poco gotoso, en punto a vicios amables nada podia esperar ya sino de la gula.
fue02-40|Comía solo, mientras un esclavo me leía narraciones geográficas.|Comia solo, mientras un esclavo me leia narraciones geograficas.
fue02-41|Nunca había podido comprender las comidas en compañía;|Nunca habia podido comprender las comidas en compania;
fue02-42|y si las mujeres me hastiaban, como he dicho, ya comprenderéis que aborrecía a los hombres.|y si las mujeres me hastiaban, como he dicho, ya comprendereis que aborrecia a los hombres.
fue02-43|¡Diez años me separaban de mi última orgía! Desde entonces, entregado a mis jardines,|!Diez anos me separaban de mi ultima orgia! Desde entonces, entregado a mis jardines,
fue02-44|a mis peces, a mis pájaros, faltábame tiempo para salir.|a mis peces, a mis pajaros, faltabame tiempo para salir.
fue02-45|Alguna vez, en las tardes muy calurosas, un paseo a la orilla del lago.|Alguna vez, en las tardes muy calurosas, un paseo a la orilla del lago.
fue02-46|Me gustaba verlo, escamado de luna al anochecer, pero esto era todo y pasaba meses sin frecuentarlo.|Me gustaba verlo, escamado de luna al anochecer, pero esto era todo y pasaba meses sin frecuentarlo.
fue02-47|La vasta ciudad libertina era para mí un desierto donde se refugiaban mis placeres.|La vasta ciudad libertina era para mi un desierto donde se refugiaban mis placeres.
fue02-48|Escasos amigos; breves visitas; largas horas de mesa;|Escasos amigos; breves visitas; largas horas de mesa;
fue02-49|lecturas; mis peces; mis pájaros;|lecturas; mis peces; mis pajaros;
fue02-50|una que otra noche tal cual orquesta de flautistas, y dos o tres ataques de gota por año…|una que otra noche tal cual orquesta de flautistas, y dos o tres ataques de gota por ano...
fue02-51|Tenía el honor de ser consultado para los banquetes, y por ahí figuraban, no sin elogio,|Tenia el honor de ser consultado para los banquetes, y por ahi figuraban, no sin elogio,
fue02-52|dos o tres salsas de mi invención.|dos o tres salsas de mi invencion.
fue02-53|Esto me daba derecho —lo digo sin orgullo— a un busto municipal,|Esto me daba derecho --lo digo sin orgullo-- a un busto municipal,
fue02-54|con tanta razón como a la compatriota que acababa de inventar un nuevo beso.|con tanta razon como a la compatriota que acababa de inventar un nuevo beso.
fue02-55|Entre tanto, mi esclavo leía.|Entre tanto, mi esclavo leia.
fue02-56|Leía narraciones de mar y de nieve, que comentaban admirablemente,|Leia narraciones de mar y de nieve, que comentaban admirablemente,
fue02-57|en la ya entrada siesta, el generoso frescor de las ánforas.|en la ya entrada siesta, el generoso frescor de las anforas.
fue02-58|La lluvia de fuego había cesado quizá, pues la servidumbre no daba muestras de notarla.|La lluvia de fuego habia cesado quiza, pues la servidumbre no daba muestras de notarla.
fue02-59|De pronto, el esclavo que atravesaba el jardín con un nuevo plato no pudo reprimir un grito.|De pronto, el esclavo que atravesaba el jardin con un nuevo plato no pudo reprimir un grito.
fue02-60|Llegó, no obstante, a la mesa;|Llego, no obstante, a la mesa;
fue02-61|pero acusando con su lividez un dolor horrible.|pero acusando con su lividez un dolor horrible.
fue02-62|Tenía en su desnuda espalda un agujerillo, en cuyo fondo|Tenia en su desnuda espalda un agujerillo, en cuyo fondo
fue02-63|sentíase chirriar aún la chispa voraz que lo había abierto.|sentiase chirriar aun la chispa voraz que lo habia abierto.
fue02-64|Ahogámosla en aceite, y fue enviado al lecho sin que pudiera contener sus ayes.|Ahogamosla en aceite, y fue enviado al lecho sin que pudiera contener sus ayes.
fue02-65|Bruscamente acabó mí apetito;|Bruscamente acabo mi apetito;
fue02-66|y aunque seguí probando los platos para no desmoralizar a la servidumbre, aquélla se apresuró a comprenderme.|y aunque segui probando los platos para no desmoralizar a la servidumbre, aquella se apresuro a comprenderme.
fue02-67|El incidente me había desconcertado.|El incidente me habia desconcertado.
fue02-68|Promediaba la siesta cuando subí nuevamente a la terraza.|Promediaba la siesta cuando subi nuevamente a la terraza.
fue02-69|El suelo estaba ya sembrado de gránulos de cobre;|El suelo estaba ya sembrado de granulos de cobre;
fue02-70|mas no parecía que la lluvia aumentara.|mas no parecia que la lluvia aumentara.
fue02-71|Comenzaba a tranquilizarme, cuando una nueva inquietud me sobrecogió.|Comenzaba a tranquilizarme, cuando una nueva inquietud me sobrecogio.
fue02-72|El silencio era absoluto.|El silencio era absoluto.
fue02-73|El tráfico estaba paralizado a causa del fenómeno, sin duda.|El trafico estaba paralizado a causa del fenomeno, sin duda.
fue02-74|Ni un rumor en la ciudad.|Ni un rumor en la ciudad.
fue02-75|Sólo, de cuando en cuando, un vago murmullo de viento sobre los árboles.|Solo, de cuando en cuando, un vago murmullo de viento sobre los arboles.
fue02-76|Era también alarmante la actitud de los pájaros.|Era tambien alarmante la actitud de los pajaros.
fue02-77|Habíanse apelotonado en un rincón casi unos sobre otros.|Habianse apelotonado en un rincon casi unos sobre otros.
fue02-78|Me dieron compasión y decidí abrirles la puerta.|Me dieron compasion y decidi abrirles la puerta.
fue02-79|No quisieron salir;|No quisieron salir;
fue02-80|antes se recogieron más acongojados aún.|antes se recogieron mas acongojados aun.
fue02-81|Entonces comenzó a intimidarme la idea de un cataclismo.|Entonces comenzo a intimidarme la idea de un cataclismo.
fue02-82|Sin ser grande mi erudición científica, sabía que nadie mencionó jamás esas lluvias de cobre incandescente.|Sin ser grande mi erudicion cientifica, sabia que nadie menciono jamas esas lluvias de cobre incandescente.
fue02-83|¡Lluvias de cobre! En el aire no hay minas de cobre.|!Lluvias de cobre! En el aire no hay minas de cobre.
fue02-84|Luego aquella limpidez del cielo no dejaba conjeturar la procedencia.|Luego aquella limpidez del cielo no dejaba conjeturar la procedencia.
fue02-85|Y lo alarmante del fenómeno era esto.|Y lo alarmante del fenomeno era esto.
fue02-86|Las chispas venían de todas partes y de ninguna.|Las chispas venian de todas partes y de ninguna.
fue02-87|Era la inmensidad desmenuzándose invisiblemente en fuego.|Era la inmensidad desmenuzandose invisiblemente en fuego.
fue02-88|Caía del firmamento el terrible cobre; pero el firmamento permanecía impasible en su azul.|Caia del firmamento el terrible cobre; pero el firmamento permanecia impasible en su azul.
fue02-89|Ganábame poco a poco una extraña congoja;|Ganabame poco a poco una extrana congoja;
fue02-90|pero, cosa rara:|pero, cosa rara:
fue02-91|hasta entonces no había pensado en huir.|hasta entonces no habia pensado en huir.
fue02-92|Esta idea se mezcló con desagradables interrogaciones.|Esta idea se mezclo con desagradables interrogaciones.
fue02-93|¡Huir! ¿Y mi mesa, mis libros, mis pájaros,|!Huir! ?Y mi mesa, mis libros, mis pajaros,
fue02-94|mis peces que acababan precisamente de estrenar un vivero,|mis peces que acababan precisamente de estrenar un vivero,
fue02-95|mis jardines ya ennoblecidos de antigüedad,|mis jardines ya ennoblecidos de antiguedad,
fue02-96|mis cincuenta años de placidez, en la dicha del presente, en el descuido del mañana…?|mis cincuenta anos de placidez, en la dicha del presente, en el descuido del manana...?
fue02-97|¿Huir…? Y pensé con horror en mis posesiones (que no conocía) del otro lado del desierto,|?Huir...? Y pense con horror en mis posesiones (que no conocia) del otro lado del desierto,
fue02-98|con sus camelleros viviendo en tiendas de lana negra y tomando por todo alimento leche cuajada,|con sus camelleros viviendo en tiendas de lana negra y tomando por todo alimento leche cuajada,
fue02-99|trigo tostado, miel agria…|trigo tostado, miel agria...
fue02-100|Quedaba una fuga por el lago, corta fuga después de todo,|Quedaba una fuga por el lago, corta fuga despues de todo,
fue02-101|si en el lago como en el desierto, según era lógico, llovía cobre también;|si en el lago como en el desierto, segun era logico, llovia cobre tambien;
fue02-102|pues no viniendo aquello de ningún foco visible, debía de ser general.|pues no viniendo aquello de ningun foco visible, debia de ser general.
fue02-103|No obstante el vago terror que me alarmaba, decíame todo eso claramente,|No obstante el vago terror que me alarmaba, deciame todo eso claramente,
fue02-104|lo discutía conmigo mismo, un poco enervado a la verdad por el letargo digestivo de mi siesta consuetudinaria.|lo discutia conmigo mismo, un poco enervado a la verdad por el letargo digestivo de mi siesta consuetudinaria.
fue02-105|Y después de todo, algo me decía que el fenómeno no iba a pasar de allí.|Y despues de todo, algo me decia que el fenomeno no iba a pasar de alli.
fue02-106|Sin embargo, nada se perdía con hacer armar el carro.|Sin embargo, nada se perdia con hacer armar el carro.
fue02-107|En ese momento llenó el aire una vasta vibración de campanas.|En ese momento lleno el aire una vasta vibracion de campanas.
fue02-108|Y casi junto con ella advertí una cosa: ya no llovía cobre.|Y casi junto con ella adverti una cosa: ya no llovia cobre.
fue02-109|El repique era una acción de gracias, coreada casi acto continuo por el murmullo habitual de la ciudad.|El repique era una accion de gracias, coreada casi acto continuo por el murmullo habitual de la ciudad.
fue02-110|Esta despertaba de su fugaz atonía, doblemente gárrula.|Esta despertaba de su fugaz atonia, doblemente garrula.
fue02-111|En algunos barrios hasta quemaban petardos.|En algunos barrios hasta quemaban petardos.
fue02-112|Acodado al parapeto de la terraza,|Acodado al parapeto de la terraza,
fue02-113|miraba con un desconocido bienestar solidario la animación vespertina que era todo amor y lujo.|miraba con un desconocido bienestar solidario la animacion vespertina que era todo amor y lujo.
fue02-114|El cielo seguía purísimo.|El cielo seguia purisimo.
fue02-115|Muchachos afanosos recogían en escudillas la granalla de cobre, que los caldereros habían empezado a comprar.|Muchachos afanosos recogian en escudillas la granalla de cobre, que los caldereros habian empezado a comprar.
fue02-116|Era todo cuanto quedaba de la grande amenaza celeste.|Era todo cuanto quedaba de la grande amenaza celeste.
fue02-117|Más numerosa que nunca, la gente de placer coloría las calles;|Mas numerosa que nunca, la gente de placer coloria las calles;
fue02-118|y aun recuerdo que sonreí vagamente a un equívoco mancebo,|y aun recuerdo que sonrei vagamente a un equivoco mancebo,
fue02-119|cuya túnica recogida hasta las caderas en un salto de bocacalle dejó ver sus piernas glabras,|cuya tunica recogida hasta las caderas en un salto de bocacalle dejo ver sus piernas glabras,
fue02-120|jaqueladas de cintas.|jaqueladas de cintas.
fue02-121|Las cortesanas, con el seno desnudo según la nueva moda, y apuntalado en deslumbrante coselete,|Las cortesanas, con el seno desnudo segun la nueva moda, y apuntalado en deslumbrante coselete,
fue02-122|paseaban su indolencia sudando perfumes.|paseaban su indolencia sudando perfumes.
fue02-123|Un viejo lenón, erguido en su carro, manejaba como si fuese una vela una hoja de estaño,|Un viejo lenon, erguido en su carro, manejaba como si fuese una vela una hoja de estano,
fue02-124|que con apropiadas pinturas anunciaba amores monstruosos de fieras:|que con apropiadas pinturas anunciaba amores monstruosos de fieras:
fue02-125|ayuntamientos de lagartos con cisnes;|ayuntamientos de lagartos con cisnes;
fue02-126|un mono y una foca;|un mono y una foca;
fue02-127|una doncella cubierta por la delirante pedrería de un pavo real.|una doncella cubierta por la delirante pedreria de un pavo real.
fue02-128|Bello cartel, a fe mía;|Bello cartel, a fe mia;
fue02-129|y garantida la autenticidad de las piezas.|y garantida la autenticidad de las piezas.
fue02-130|Animales amaestrados por no sé qué hechicería bárbara, y desequilibrados con opio y con asafétida.|Animales amaestrados por no se que hechiceria barbara, y desequilibrados con opio y con asafetida.
fue02-131|Seguido por tres jóvenes enmascarados pasó un negro amabilísimo,|Seguido por tres jovenes enmascarados paso un negro amabilisimo,
fue02-132|que dibujaba en los patios con polvos de colores derramados al ritmo de una danza, escenas secretas.|que dibujaba en los patios con polvos de colores derramados al ritmo de una danza, escenas secretas.
fue02-133|También depilaba al oropimente y sabía dorar las uñas.|Tambien depilaba al oropimente y sabia dorar las unas.
